nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	81.3015
Total number of grid points: 	813
Distance at last grid point: 	81.4
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 40650
Now I am storing
Norm of orbital: 1.000000e+00
timestep 0 of 666781, Norm of wave function: 1
timestep 200 of 666781, Norm of wave function: 0.999988
timestep 400 of 666781, Norm of wave function: 0.999975
timestep 600 of 666781, Norm of wave function: 0.999963
timestep 800 of 666781, Norm of wave function: 0.999951
timestep 1000 of 666781, Norm of wave function: 0.999938
timestep 1200 of 666781, Norm of wave function: 0.999926
timestep 1400 of 666781, Norm of wave function: 0.999914
timestep 1600 of 666781, Norm of wave function: 0.999901
timestep 1800 of 666781, Norm of wave function: 0.999889
timestep 2000 of 666781, Norm of wave function: 0.999877
timestep 2200 of 666781, Norm of wave function: 0.999864
timestep 2400 of 666781, Norm of wave function: 0.999852
timestep 2600 of 666781, Norm of wave function: 0.99984
timestep 2800 of 666781, Norm of wave function: 0.999827
timestep 3000 of 666781, Norm of wave function: 0.999815
timestep 3200 of 666781, Norm of wave function: 0.999803
timestep 3400 of 666781, Norm of wave function: 0.999791
timestep 3600 of 666781, Norm of wave function: 0.999778
timestep 3800 of 666781, Norm of wave function: 0.999766
timestep 4000 of 666781, Norm of wave function: 0.999754
timestep 4200 of 666781, Norm of wave function: 0.999741
timestep 4400 of 666781, Norm of wave function: 0.999729
timestep 4600 of 666781, Norm of wave function: 0.999717
timestep 4800 of 666781, Norm of wave function: 0.999705
timestep 5000 of 666781, Norm of wave function: 0.999692
timestep 5200 of 666781, Norm of wave function: 0.99968
timestep 5400 of 666781, Norm of wave function: 0.999668
timestep 5600 of 666781, Norm of wave function: 0.999656
timestep 5800 of 666781, Norm of wave function: 0.999643
timestep 6000 of 666781, Norm of wave function: 0.999631
timestep 6200 of 666781, Norm of wave function: 0.999619
timestep 6400 of 666781, Norm of wave function: 0.999607
timestep 6600 of 666781, Norm of wave function: 0.999594
timestep 6800 of 666781, Norm of wave function: 0.999582
timestep 7000 of 666781, Norm of wave function: 0.99957
timestep 7200 of 666781, Norm of wave function: 0.999558
timestep 7400 of 666781, Norm of wave function: 0.999545
timestep 7600 of 666781, Norm of wave function: 0.999533
timestep 7800 of 666781, Norm of wave function: 0.999521
timestep 8000 of 666781, Norm of wave function: 0.999509
timestep 8200 of 666781, Norm of wave function: 0.999497
timestep 8400 of 666781, Norm of wave function: 0.999484
