nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	79.9977
Total number of grid points: 	799
Distance at last grid point: 	80
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 39950
Now I am storing
Norm of orbital: 1.000000e+00
timestep 0 of 654686, Norm of wave function: 1
timestep 100 of 654686, Norm of wave function: 0.999989
timestep 200 of 654686, Norm of wave function: 0.999977
timestep 300 of 654686, Norm of wave function: 0.999966
timestep 400 of 654686, Norm of wave function: 0.999954
timestep 500 of 654686, Norm of wave function: 0.999943
timestep 600 of 654686, Norm of wave function: 0.999932
timestep 700 of 654686, Norm of wave function: 0.99992
timestep 800 of 654686, Norm of wave function: 0.999909
timestep 900 of 654686, Norm of wave function: 0.999897
timestep 1000 of 654686, Norm of wave function: 0.999886
timestep 1100 of 654686, Norm of wave function: 0.999875
timestep 1200 of 654686, Norm of wave function: 0.999863
timestep 1300 of 654686, Norm of wave function: 0.999852
timestep 1400 of 654686, Norm of wave function: 0.999841
timestep 1500 of 654686, Norm of wave function: 0.999829
timestep 1600 of 654686, Norm of wave function: 0.999818
timestep 1700 of 654686, Norm of wave function: 0.999806
timestep 1800 of 654686, Norm of wave function: 0.999795
timestep 1900 of 654686, Norm of wave function: 0.999784
timestep 2000 of 654686, Norm of wave function: 0.999772
timestep 2100 of 654686, Norm of wave function: 0.999761
timestep 2200 of 654686, Norm of wave function: 0.99975
timestep 2300 of 654686, Norm of wave function: 0.999738
timestep 2400 of 654686, Norm of wave function: 0.999727
timestep 2500 of 654686, Norm of wave function: 0.999716
timestep 2600 of 654686, Norm of wave function: 0.999704
timestep 2700 of 654686, Norm of wave function: 0.999693
timestep 2800 of 654686, Norm of wave function: 0.999682
timestep 2900 of 654686, Norm of wave function: 0.99967
