nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	32.7757
Total grid length: 	69.643
Total number of grid points: 	696
Distance at last grid point: 	69.7
Imag time prop grid with size: g_load.size() = 1500
  is fit into
Real time prop grid with size: g_prop.size() = 34800
Now I am storing
Norm of orbital: 1.000000e+00
timestep 0 of 666781, Norm of wave function: 1
timestep 200 of 666781, Norm of wave function: 1
timestep 400 of 666781, Norm of wave function: 1
timestep 600 of 666781, Norm of wave function: 1
timestep 800 of 666781, Norm of wave function: 1
timestep 1000 of 666781, Norm of wave function: 1
timestep 1200 of 666781, Norm of wave function: 1
timestep 1400 of 666781, Norm of wave function: 1
timestep 1600 of 666781, Norm of wave function: 1
timestep 1800 of 666781, Norm of wave function: 1
timestep 2000 of 666781, Norm of wave function: 1
timestep 2200 of 666781, Norm of wave function: 1
timestep 2400 of 666781, Norm of wave function: 1
timestep 2600 of 666781, Norm of wave function: 1
timestep 2800 of 666781, Norm of wave function: 1
timestep 3000 of 666781, Norm of wave function: 1
timestep 3200 of 666781, Norm of wave function: 1
timestep 3400 of 666781, Norm of wave function: 1
timestep 3600 of 666781, Norm of wave function: 1
timestep 3800 of 666781, Norm of wave function: 1
timestep 4000 of 666781, Norm of wave function: 1
timestep 4200 of 666781, Norm of wave function: 1
timestep 4400 of 666781, Norm of wave function: 1
timestep 4600 of 666781, Norm of wave function: 1
timestep 4800 of 666781, Norm of wave function: 1
timestep 5000 of 666781, Norm of wave function: 1
timestep 5200 of 666781, Norm of wave function: 1
timestep 5400 of 666781, Norm of wave function: 1
timestep 5600 of 666781, Norm of wave function: 1
timestep 5800 of 666781, Norm of wave function: 1
timestep 6000 of 666781, Norm of wave function: 1
timestep 6200 of 666781, Norm of wave function: 1
timestep 6400 of 666781, Norm of wave function: 1
timestep 6600 of 666781, Norm of wave function: 1
timestep 6800 of 666781, Norm of wave function: 1
timestep 7000 of 666781, Norm of wave function: 1
timestep 7200 of 666781, Norm of wave function: 1
timestep 7400 of 666781, Norm of wave function: 1
timestep 7600 of 666781, Norm of wave function: 1
timestep 7800 of 666781, Norm of wave function: 1
timestep 8000 of 666781, Norm of wave function: 1
timestep 8200 of 666781, Norm of wave function: 1
timestep 8400 of 666781, Norm of wave function: 1
timestep 8600 of 666781, Norm of wave function: 1
timestep 8800 of 666781, Norm of wave function: 1
timestep 9000 of 666781, Norm of wave function: 1
timestep 9200 of 666781, Norm of wave function: 1
timestep 9400 of 666781, Norm of wave function: 1
timestep 9600 of 666781, Norm of wave function: 1
timestep 9800 of 666781, Norm of wave function: 1
timestep 10000 of 666781, Norm of wave function: 1
timestep 10200 of 666781, Norm of wave function: 1
