{0.00008297008515893019 - 0.00020779308662466795*I, 0. + 0.*I, 0. + 0.*I}
{0.00008116234592642209 - 0.00020539721616420734*I, 0. + 0.*I, 0. + 0.*I}
{0.00007937571901334277 - 0.00020301454954691964*I, 0. + 0.*I, 0. + 0.*I}
{0.00007760925459405995 - 0.0002006448624273596*I, 0. + 0.*I, 0. + 0.*I}
{0.00007586205404670116 - 0.00019828791068144733*I, 0. + 0.*I, 0. + 0.*I}
{0.00007413326951930342 - 0.000195943432598046*I, 0. + 0.*I, 0. + 0.*I}
{0.00007242210341176046 - 0.00019361115105206268*I, 0. + 0.*I, 0. + 0.*I}
{0.00007072780777659674 - 0.00019129077566075524*I, 0. + 0.*I, 0. + 0.*I}
{0.00006904968364174988 - 0.00018898200492663806*I, 0. + 0.*I, 0. + 0.*I}
{0.0000673870802587812 - 0.00018668452837210112*I, 0. + 0.*I, 0. + 0.*I}
{0.00006573939428003962 - 0.00018439802867243325*I, 0. + 0.*I, 0. + 0.*I}
{0.00006410606886855181 - 0.00018212218379551342*I, 0. + 0.*I, 0. + 0.*I}
{0.00006248659274447332 - 0.0001798566691578091*I, 0. + 0.*I, 0. + 0.*I}
{0.00006088049917214878 - 0.00017760115980767666*I, 0. + 0.*I, 0. + 0.*I}
{0.000059287364891873224 - 0.00017535533264809102*I, 0. + 0.*I, 0. + 0.*I}
{0.00005770680900065027 - 0.0001731188687120561*I, 0. + 0.*I, 0. + 0.*I}
{0.00005613849178622299 - 0.00017089145550475084*I, 0. + 0.*I, 0. + 0.*I}
{0.00005458211351880643 - 0.0001686727894272684*I, 0. + 0.*I, 0. + 0.*I}
{0.0000530374132049735 - 0.00016646257829734722*I, 0. + 0.*I, 0. + 0.*I}
{0.000051504167308212986 - 0.0001642605439829125*I, 0. + 0.*I, 0. + 0.*I}
{0.00004998218844067654 - 0.00016206642516442026*I, 0. + 0.*I, 0. + 0.*I}
{0.000048471324030632184 - 0.00015987998024203073*I, 0. + 0.*I, 0. + 0.*I}
{0.00004697145497017843 - 0.00015770099040347986*I, 0. + 0.*I, 0. + 0.*I}
{0.0000454824942477183 - 0.00015552926286815068*I, 0. + 0.*I, 0. + 0.*I}
{0.000044004385569591175 - 0.00015336463432218816*I, 0. + 0.*I, 0. + 0.*I}
{0.00004253710197533357 - 0.00015120697455887438*I, 0. + 0.*I, 0. + 0.*I}
{0.00004108064445085195 - 0.0001490561903373959*I, 0. + 0.*I, 0. + 0.*I}
{0.00003963504054365744 - 0.00014691222947189571*I, 0. + 0.*I, 0. + 0.*I}
{0.000038200342984428314 - 0.00014477508516158488*I, 0. + 0.*I, 0. + 0.*I}
{0.00003677662831869481 - 0.0001426448005707201*I, 0. + 0.*I, 0. + 0.*I}
{0.00003536399555263273 - 0.00014052147366587752*I, 0. + 0.*I, 0. + 0.*I}
{0.00003396256481657632 - 0.00013840526231572229*I, 0. + 0.*I, 0. + 0.*I}
{0.0000325724760497396 - 0.00013629638965644505*I, 0. + 0.*I, 0. + 0.*I}
{0.00003119388770955571 - 0.00013419514972379986*I, 0. + 0.*I, 0. + 0.*I}
{0.000029826975508621857 - 0.0001321019133500132*I, 0. + 0.*I, 0. + 0.*I}
{0.000028471931182304173 - 0.00013001713432149418*I, 0. + 0.*I, 0. + 0.*I}
{0.000027128961289571695 - 0.0001279413557902591*I, 0. + 0.*I, 0. + 0.*I}
{0.000025798286049600482 - 0.0001258752169293138*I, 0. + 0.*I, 0. + 0.*I}
{0.000024480138216254586 - 0.00012381945981904645*I, 0. + 0.*I, 0. + 0.*I}
{0.000023174761992554658 - 0.0001217749365488841*I, 0. + 0.*I, 0. + 0.*I}
{0.00002188241198662057 - 0.00011974261651488132*I, 0. + 0.*I, 0. + 0.*I}
{0.00002060335221074212 - 0.00011772359389117707*I, 0. + 0.*I, 0. + 0.*I}
{0.000019337855124550998 - 0.00011571909524951122*I, 0. + 0.*I, 0. + 0.*I}
{0.00001808620072326566 - 0.00011373048729798911*I, 0. + 0.*I, 0. + 0.*I}
{0.000016848675671593252 - 0.00011175928470686317*I, 0. + 0.*I, 0. + 0.*I}
{0.000015625572483634263 - 0.00010980715798582679*I, 0. + 0.*I, 0. + 0.*I}
{0.000014417188748677548 - 0.00010787594137383688*I, 0. + 0.*I, 0. + 0.*I}
{0.000013223826402921462 - 0.00010596764069977138*I, 0. + 0.*I, 0. + 0.*I}
{0.00001204579104620365 - 0.00010408444116826792*I, 0. + 0.*I, 0. + 0.*I}
{0.000010883391303380978 - 0.00010222871502301864*I, 0. + 0.*I, 0. + 0.*I}
{9.73693822883326*^-6 - 0.00010040302903580584*I, 0. + 0.*I, 0. + 0.*I}
{8.60674475307809*^-6 - 0.00009861015176763891*I, 0. + 0.*I, 0. + 0.*I}
{7.493125169724092*^-6 - 0.00009685306054514896*I, 0. + 0.*I, 0. + 0.*I}
{6.3963946609380254*^-6 - 0.00009513494809310752*I, 0. + 0.*I, 0. + 0.*I}
{5.316868859235068*^-6 - 0.00009345922876157064*I, 0. + 0.*I, 0. + 0.*I}
{4.254863443512125*^-6 - 0.00009182954428440386*I, 0. + 0.*I, 0. + 0.*I}
{3.2106937663817333*^-6 - 0.00009024976900346965*I, 0. + 0.*I, 0. + 0.*I}
{2.1846745103172305*^-6 - 0.00008872401449188898*I, 0. + 0.*I, 0. + 0.*I}
{1.1771193696414703*^-6 - 0.0000872566335082084*I, 0. + 0.*I, 0. + 0.*I}
{1.8834075489468756*^-7 - 0.00008585222321191208*I, 0. + 0.*I, 0. + 0.*I}
{-7.813504831794054*^-7 - 0.00008451562757108626*I, 0. + 0.*I, 0. + 0.*I}
{-1.7316453139823666*^-6 - 0.00008325193889149403*I, 0. + 0.*I, 0. + 0.*I}
{-2.662236775301607*^-6 - 0.00008206649839678841*I, 0. + 0.*I, 0. + 0.*I}
{-3.5728202124268986*^-6 - 0.00008096489579097523*I, 0. + 0.*I, 0. + 0.*I}
{-4.463093513125397*^-6 - 0.0000799529677325068*I, 0. + 0.*I, 0. + 0.*I}
{-5.332757341159348*^-6 - 0.000079036795153427*I, 0. + 0.*I, 0. + 0.*I}
{-6.1815153730038775*^-6 - 0.00007822269935617541*I, 0. + 0.*I, 0. + 0.*I}
{-7.009074541324379*^-6 - 0.00007751723682386527*I, 0. + 0.*I, 0. + 0.*I}
{-7.815145289209743*^-6 - 0.00007692719268180702*I, 0. + 0.*I, 0. + 0.*I}
{-8.599441839422934*^-6 - 0.0000764595727501193*I, 0. + 0.*I, 0. + 0.*I}
{-9.3616824811637*^-6 - 0.00007612159413308171*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010101589880909515 - 0.00007592067428879066*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010818891417466923 - 0.00007586441853475474*I, 0. + 0.*I, 0. + 0.*I}
{-0.000011513319547779703 - 0.00007596060594190199*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001218461220536943 - 0.0000762171735789259*I, 0. + 0.*I, 0. + 0.*I}
{-0.000012832513235332475 - 0.00007664219907244924*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001345677286863302 - 0.00007724388145463715*I, 0. + 0.*I, 0. + 0.*I}
{-0.000014057148238574957 - 0.00007803052027635512*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001463340394300172 - 0.00007901049296813392*I, 0. + 0.*I, 0. + 0.*I}
{-0.000015185312652709448 - 0.00008019223044285915*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000157126557708361 - 0.00008158419093490584*I, 0. + 0.*I, 0. + 0.*I}
{-0.000016215224142344377 - 0.00008319483208428612*I, 0. + 0.*I, 0. + 0.*I}
{-0.000016692818817295345 - 0.00008503258127750593*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017145251868095586 - 0.0000871058042670669*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017572347261137947 - 0.00008942277210141523*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017973941784613815 - 0.0000919916264013814*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001834988603131191 - 0.00009482034303380437*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001870004543724562 - 0.00009791669423642655*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001902430137373479 - 0.0001012882092637909*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001932255229399852 - 0.00010494213362585997*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019594714930891044 - 0.00010888538700764357*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019840725544301857 - 0.00011312451996373023*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020060541215862377 - 0.00011766566949195357*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020254141189201602 - 0.00012251451359909582*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020421528248679496 - 0.0001276762249867136*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020562730138257564 - 0.00013315542398393526*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020677801011385386 - 0.00013895613087524324*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020766822908911336 - 0.00014508171777330924*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020829907261989155 - 0.00015153486019489374*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020867196410068214 - 0.00015831748851443883*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020878865131690413 - 0.00016543073946923595*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002086512217957972 - 0.00017287490790415732*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020826211814275192 - 0.0001806493989482837*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020762415328178596 - 0.00018875268082592064*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020674052552299273 - 0.00019718223851016793*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002056148334057273 - 0.00020593452842813383*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020425109016824693 - 0.00021500493444713046*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020265373785229802 - 0.0002243877253546514*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002008276608615561 - 0.00023407601407208207*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019877819893761336 - 0.00024406171882909405*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019651115946828397 - 0.00025433552653281286*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019403282895802958 - 0.00026488685857999165*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001913499836828254 - 0.00027570383933622365*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001884698993118153 - 0.0002867732675378593*I, 0. + 0.*I, 0. + 0.*I}
{-0.000018540035947583403 - 0.00029808059084555406*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001821496631768196 - 0.00030960988379017263*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001787266308640395 - 0.0003213438293558987*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017514060921186656 - 0.0003332637044165247*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017140147436988574 - 0.0003453493692723379*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001675196336609231 - 0.0003575792615007314*I, 0. + 0.*I, 0. + 0.*I}
{-0.000016350602564172655 - 0.00036993039433739344*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001593721183700761 - 0.0003823783598080787*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001551299058770612 - 0.0003948973367997852*I, 0. + 0.*I, 0. + 0.*I}
{-0.000015079190265709035 - 0.00040746010427829954*I, 0. + 0.*I, 0. + 0.*I}
{-0.000014637113618786824 - 0.00042003805982339685*I, 0. + 0.*I, 0. + 0.*I}
{-0.000014188113736833801 - 0.00043260124365348743*I, 0. + 0.*I, 0. + 0.*I}
{-0.000013733592873826893 - 0.00044511836831047635*I, 0. + 0.*I, 0. + 0.*I}
