{-4.5634989449080315*^-12 - 8.4535640448986*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-5.530540580954518*^-12 - 7.029611409466226*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-6.405763145088029*^-12 - 5.605611185386037*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-7.185783416407784*^-12 - 4.1934286842638565*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-7.868288475238512*^-12 - 2.8060180055992117*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-8.452026676347267*^-12 - 1.462449731437404*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-8.93678952876504*^-12 - 2.0046368804322118*^-13*I, 0. + 0.*I, 0. + 0.*I}
{-9.32337557653797*^-12 + 8.983367613705082*^-13*I, 0. + 0.*I, 0. + 0.*I}
{-9.613524853222373*^-12 + 1.664579510723265*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-9.809810601262425*^-12 + 1.7718437551931096*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-9.915473842028996*^-12 + 6.351594616716352*^-13*I, 0. + 0.*I, 0. + 0.*I}
{-9.934186155517343*^-12 - 2.729289511726541*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-9.86972674632639*^-12 - 9.889088767806168*^-12*I, 0. + 0.*I, 0. + 0.*I}
{-9.72556158967613*^-12 - 2.3229745825664127*^-11*I, 0. + 0.*I, 0. + 0.*I}
{-9.504315150655002*^-12 - 4.624097680071519*^-11*I, 0. + 0.*I, 0. + 0.*I}
{-9.207128838887326*^-12 - 8.38558951371701*^-11*I, 0. + 0.*I, 0. + 0.*I}
{-8.832904909914558*^-12 - 1.4284134142625818*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-8.377439866641891*^-12 - 2.3223473882260529*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-7.832457387070604*^-12 - 3.6381976008396525*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-7.184557247327947*^-12 - 5.526298460338473*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-6.4141034250938356*^-12 - 8.174653295967788*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-5.494081309625425*^-12 - 1.1814067122156647*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-4.388960497432374*^-12 - 1.6723036347988314*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.0536057454773786*^-12 - 2.323216410755518*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.4322840271525868*^-12 - 3.172784771231502*^-9*I, 0. + 0.*I, 0. + 0.*I}
{5.421799637461074*^-13 - 4.265496835235908*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.949044307451684*^-12 - 5.651830375444387*^-9*I, 0. + 0.*I, 0. + 0.*I}
{5.880029086352018*^-12 - 7.38823830692717*^-9*I, 0. + 0.*I, 0. + 0.*I}
{9.43937696186576*^-12 - 9.536951070000372*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.374353946328959*^-11 - 1.216557027872245*^-8*I, 0. + 0.*I, 0. + 0.*I}
{1.8920437012395432*^-11 - 1.5346430711778834*^-8*I, 0. + 0.*I, 0. + 0.*I}
{2.5108246468315596*^-11 - 1.9155711454825713*^-8*I, 0. + 0.*I, 0. + 0.*I}
{3.245367770269807*^-11 - 2.3672281761055158*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.1109710662235526*^-11 - 2.8976272944611604*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.1232776166507916*^-11 - 3.514737430158014*^-8*I, 0. + 0.*I, 0. + 0.*I}
{6.297937730576267*^-11 - 4.226285856855272*^-8*I, 0. + 0.*I, 0. + 0.*I}
{7.650216380838506*^-11 - 5.039535066136174*^-8*I, 0. + 0.*I, 0. + 0.*I}
{9.194548829476008*^-11 - 5.96103622320786*^-8*I, 0. + 0.*I, 0. + 0.*I}
{1.0944049124047747*^-10 - 6.996362376177728*^-8*I, 0. + 0.*I, 0. + 0.*I}
{1.2909977998408773*^-10 - 8.14982552690614*^-8*I, 0. + 0.*I, 0. + 0.*I}
{1.5101178582065446*^-10 - 9.424182602795256*^-8*I, 0. + 0.*I, 0. + 0.*I}
{1.7523490212131878*^-10 - 1.0820336271695718*^-7*I, 0. + 0.*I, 0. + 0.*I}
{2.0179152398585013*^-10 - 1.2337037389792295*^-7*I, 0. + 0.*I, 0. + 0.*I}
{2.3066212719582545*^-10 - 1.397059663911496*^-7*I, 0. + 0.*I, 0. + 0.*I}
{2.617795391008789*^-10 - 1.5714613569397122*^-7*I, 0. + 0.*I, 0. + 0.*I}
{2.950235667815616*^-10 - 1.75597317826249*^-7*I, 0. + 0.*I, 0. + 0.*I}
{3.3021615843705317*^-10 - 1.949342936134877*^-7*I, 0. + 0.*I, 0. + 0.*I}
{3.6711727998072943*^-10 - 2.149985382029233*^-7*I, 0. + 0.*I, 0. + 0.*I}
{4.0542169268560963*^-10 - 2.35597108322027*^-7*I, 0. + 0.*I, 0. + 0.*I}
