{-1.4670915267180665*^-14 + 1.9698358932536205*^-14*I, 0. + 0.*I, 0. + 0.*I}
{-1.2384826086694263*^-14 + 1.8655570522743916*^-14*I, 0. + 0.*I, 0. + 0.*I}
{-1.0134316129509381*^-14 + 1.761504253714063*^-14*I, 0. + 0.*I, 0. + 0.*I}
{-7.92153955683756*^-15 + 1.6577971632780357*^-14*I, 0. + 0.*I, 0. + 0.*I}
{-5.748555788867174*^-15 + 1.5545499293306263*^-14*I, 0. + 0.*I, 0. + 0.*I}
{-3.617326909506797*^-15 + 1.4518603946683662*^-14*I, 0. + 0.*I, 0. + 0.*I}
{-1.529710844537468*^-15 + 1.3497833907410253*^-14*I, 0. + 0.*I, 0. + 0.*I}
{5.125538087867872*^-16 + 1.2482765220575072*^-14*I, 0. + 0.*I, 0. + 0.*I}
{2.5078773950429315*^-15 + 1.1471036794486064*^-14*I, 0. + 0.*I, 0. + 0.*I}
{4.4548703989178206*^-15 + 1.0456785394850168*^-14*I, 0. + 0.*I, 0. + 0.*I}
{6.352425000332541*^-15 + 9.428274539751446*^-15*I, 0. + 0.*I, 0. + 0.*I}
{8.199836670131849*^-15 + 8.364483915731918*^-15*I, 0. + 0.*I, 0. + 0.*I}
{9.996976987765324*^-15 + 7.230402335875119*^-15*I, 0. + 0.*I, 0. + 0.*I}
{1.1744530222890327*^-14 + 5.970743845062973*^-15*I, 0. + 0.*I, 0. + 0.*I}
{1.3444305953791007*^-14 + 4.501788109259074*^-15*I, 0. + 0.*I, 0. + 0.*I}
{1.5099642685995833*^-14 + 2.70102783379257*^-15*I, 0. + 0.*I, 0. + 0.*I}
{1.6715916563880858*^-14 + 3.942933392762323*^-16*I, 0. + 0.*I, 0. + 0.*I}
{1.8301170667969476*^-14 - 2.6599874257571764*^-15*I, 0. + 0.*I, 0. + 0.*I}
{1.9866880628552692*^-14 - 6.789741359322799*^-15*I, 0. + 0.*I, 0. + 0.*I}
{2.1428872554189848*^-14 - 1.2431768768022793*^-14*I, 0. + 0.*I, 0. + 0.*I}
{2.3008409449358797*^-14 - 2.015817991452187*^-14*I, 0. + 0.*I, 0. + 0.*I}
{2.4633462124364625*^-14 - 3.0707099770760234*^-14*I, 0. + 0.*I, 0. + 0.*I}
{2.634018052669785*^-14 - 4.501798253562281*^-14*I, 0. + 0.*I, 0. + 0.*I}
{2.8174580841060557*^-14 - 6.427186736543797*^-14*I, 0. + 0.*I, 0. + 0.*I}
{3.0194463560977386*^-14 - 8.993689117115105*^-14*I, 0. + 0.*I, 0. + 0.*I}
{3.2471576058793986*^-14 - 1.2381935517046395*^-13*I, 0. + 0.*I, 0. + 0.*I}
{3.509403365309156*^-14 - 1.6812061926302353*^-13*I, 0. + 0.*I, 0. + 0.*I}
{3.816901043542726*^-14 - 2.2550007110834445*^-13*I, 0. + 0.*I, 0. + 0.*I}
{4.182571146632313*^-14 - 2.991443859118517*^-13*I, 0. + 0.*I, 0. + 0.*I}
{4.6218634779358985*^-14 - 3.928432585018058*^-13*I, 0. + 0.*I, 0. + 0.*I}
{5.1531131674577503*^-14 - 5.110717507986959*^-13*I, 0. + 0.*I, 0. + 0.*I}
{5.797927065058885*^-14 - 6.590793558364892*^-13*I, 0. + 0.*I, 0. + 0.*I}
{6.5816009225975*^-14 - 8.429858343518148*^-13*I, 0. + 0.*I, 0. + 0.*I}
{7.533567497898496*^-14 - 1.0698838310022678*^-12*I, 0. + 0.*I, 0. + 0.*I}
{8.687875593460915*^-14 - 1.3479482255016096*^-12*I, 0. + 0.*I, 0. + 0.*I}
{1.0083699679800866*^-13 - 1.6865521204062562*^-12*I, 0. + 0.*I, 0. + 0.*I}
{1.1765879605496724*^-13 - 2.096389308466342*^-12*I, 0. + 0.*I, 0. + 0.*I}
{1.3785489561375165*^-13 - 2.589603003767636*^-12*I, 0. + 0.*I, 0. + 0.*I}
{1.6200435224006682*^-13 - 3.179920559948328*^-12*I, 0. + 0.*I, 0. + 0.*I}
{1.9076077723622188*^-13 - 3.882793833663288*^-12*I, 0. + 0.*I, 0. + 0.*I}
{2.2485882756167164*^-13 - 4.71554478779222*^-12*I, 0. + 0.*I, 0. + 0.*I}
{2.651209289829452*^-13 - 5.697515862718219*^-12*I, 0. + 0.*I, 0. + 0.*I}
{3.1246420865933415*^-13 - 6.85022457657164*^-12*I, 0. + 0.*I, 0. + 0.*I}
{3.679076115266054*^-13 - 8.197521747157619*^-12*I, 0. + 0.*I, 0. + 0.*I}
{4.3257917178656517*^-13 - 9.765752665574069*^-12*I, 0. + 0.*I, 0. + 0.*I}
{5.077234073775641*^-13 - 1.1583920476236531*^-11*I, 0. + 0.*I, 0. + 0.*I}
{5.947088034147204*^-13 - 1.3683850959173465*^-11*I, 0. + 0.*I, 0. + 0.*I}
{6.950353459167413*^-13 - 1.6100357844158902*^-11*I, 0. + 0.*I, 0. + 0.*I}
{8.103420654345234*^-13 - 1.8871407714532352*^-11*I, 0. + 0.*I, 0. + 0.*I}
{9.424145470030158*^-13 - 2.2038283512557445*^-11*I, 0. + 0.*I, 0. + 0.*I}
{1.093192359726581*^-12 - 2.5645745578445812*^-11*I, 0. + 0.*I, 0. + 0.*I}
{1.2647763573820327*^-12 - 2.974218912143524*^-11*I, 0. + 0.*I, 0. + 0.*I}
{1.4594357976243941*^-12 - 3.437979694387199*^-11*I, 0. + 0.*I, 0. + 0.*I}
{1.67961522683757*^-12 - 3.9614686212504254*^-11*I, 0. + 0.*I, 0. + 0.*I}
{1.927941073479903*^-12 - 4.5507048007285214*^-11*I, 0. + 0.*I, 0. + 0.*I}
{2.20722789241533*^-12 - 5.21212783469572*^-11*I, 0. + 0.*I, 0. + 0.*I}
{2.520484199855268*^-12 - 5.952609935218352*^-11*I, 0. + 0.*I, 0. + 0.*I}
{2.8709178373015776*^-12 - 6.779466917101749*^-11*I, 0. + 0.*I, 0. + 0.*I}
{3.2619408020803825*^-12 - 7.70046792744252*^-11*I, 0. + 0.*I, 0. + 0.*I}
{3.697173479767119*^-12 - 8.723843770425599*^-11*I, 0. + 0.*I, 0. + 0.*I}
{4.180448213828506*^-12 - 9.858293683626983*^-11*I, 0. + 0.*I, 0. + 0.*I}
{4.7158121480373204*^-12 - 1.1112990423525601*^-10*I, 0. + 0.*I, 0. + 0.*I}
{5.307529274915265*^-12 - 1.2497583514483723*^-10*I, 0. + 0.*I, 0. + 0.*I}
{5.960081626103383*^-12 - 1.4022200521383097*^-10*I, 0. + 0.*I, 0. + 0.*I}
{6.678169537491804*^-12 - 1.569744620017652*^-10*I, 0. + 0.*I, 0. + 0.*I}
{7.466710928666505*^-12 - 1.7534399390774933*^-10*I, 0. + 0.*I, 0. + 0.*I}
{8.330839530125687*^-12 - 1.954460751454665*^-10*I, 0. + 0.*I, 0. + 0.*I}
{9.27590199809159*^-12 - 2.1740078543485697*^-10*I, 0. + 0.*I, 0. + 0.*I}
{1.0307453858137774*^-11 - 2.413327031460193*^-10*I, 0. + 0.*I, 0. + 0.*I}
{1.1431254218756734*^-11 - 2.673707706495893*^-10*I, 0. + 0.*I, 0. + 0.*I}
{1.2653259202014512*^-11 - 2.9564813075900175*^-10*I, 0. + 0.*I, 0. + 0.*I}
{1.3979614036004552*^-11 - 3.263019331103809*^-10*I, 0. + 0.*I, 0. + 0.*I}
{1.5416643766333227*^-11 - 3.5947310953022976*^-10*I, 0. + 0.*I, 0. + 0.*I}
{1.6970842536768303*^-11 - 3.953061174505107*^-10*I, 0. + 0.*I, 0. + 0.*I}
{1.864886140087045*^-11 - 4.339486505307287*^-10*I, 0. + 0.*I, 0. + 0.*I}
{2.045749462955317*^-11 - 4.755513157976133*^-10*I, 0. + 0.*I, 0. + 0.*I}
{2.240366448240365*^-11 - 5.202672766747052*^-10*I, 0. + 0.*I, 0. + 0.*I}
{2.4494404417173624*^-11 - 5.682518614430973*^-10*I, 0. + 0.*I, 0. + 0.*I}
{2.6736840717581037*^-11 - 6.196621367335769*^-10*I, 0. + 0.*I, 0. + 0.*I}
{2.9138172526016825*^-11 - 6.746564458926316*^-10*I, 0. + 0.*I, 0. + 0.*I}
{3.170565027190782*^-11 - 7.333939120861174*^-10*I, 0. + 0.*I, 0. + 0.*I}
{3.4446552496281104*^-11 - 7.960339062576228*^-10*I, 0. + 0.*I, 0. + 0.*I}
{3.736816107655183*^-11 - 8.627354801477648*^-10*I, 0. + 0.*I, 0. + 0.*I}
{4.047773486756465*^-11 - 9.336567647658531*^-10*I, 0. + 0.*I, 0. + 0.*I}
{4.378248177504472*^-11 - 1.0089543349169532*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.728952929261741*^-11 - 1.0887825404460027*^-9*I, 0. + 0.*I, 0. + 0.*I}
{5.1005893540145716*^-11 - 1.1732928051742396*^-9*I, 0. + 0.*I, 0. + 0.*I}
{5.493844684208648*^-11 - 1.2626328945733458*^-9*I, 0. + 0.*I, 0. + 0.*I}
{5.909388390527066*^-11 - 1.3569461535113163*^-9*I, 0. + 0.*I, 0. + 0.*I}
{6.347868665212186*^-11 - 1.4563707154746658*^-9*I, 0. + 0.*I, 0. + 0.*I}
{6.80990877805355*^-11 - 1.5610386849373058*^-9*I, 0. + 0.*I, 0. + 0.*I}
{7.296103313238305*^-11 - 1.6710752947847651*^-9*I, 0. + 0.*I, 0. + 0.*I}
{7.807014294930951*^-11 - 1.786598040723496*^-9*I, 0. + 0.*I, 0. + 0.*I}
{8.343167211988441*^-11 - 1.9077157949719777*^-9*I, 0. + 0.*I, 0. + 0.*I}
{8.90504695208593*^-11 - 2.0345279016747386*^-9*I, 0. + 0.*I, 0. + 0.*I}
{9.493093655905647*^-11 - 2.1671232565664704*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.0107698504613098*^-10 - 2.3055793737533065*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.0749199452752766*^-10 - 2.449961442566554*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.1417876920645872*^-10 - 2.600321377607931*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.21139494615122*^-10 - 2.7566968653812515*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.2837569417731137*^-10 - 2.919110410967797*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.3588818583007273*^-10 - 3.087568388402278*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.436770388748869*^-10 - 3.2620600985571024*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.51741531231762*^-10 - 3.4425568385311917*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.600801072741075*^-10 - 3.6290109866091486*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.6869033644206005*^-10 - 3.821355106941577*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.775688728242317*^-10 - 4.019501078446502*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.8671141589505948*^-10 - 4.2233392521287276*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.9611267263787286*^-10 - 4.432737641579585*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.0576632122793442*^-10 - 4.647541151076748*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.1566497650898663*^-10 - 4.867570845973848*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.2580015747370125*^-10 - 5.092623270214283*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.3616225694430277*^-10 - 5.3224698154471766*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.4674051369591966*^-10 - 5.556856146763713*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.5752298721607457*^-10 - 5.795501689603936*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.68496535326615*^-10 - 6.038099182561532*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.796467948798766*^-10 - 6.2843143009712584*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.909581657408766*^-10 - 6.5337853555102084*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.024137982689395*^-10 - 6.78612307076138*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.1399558448798397*^-10 - 7.040910447910846*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.2568415316825155*^-10 - 7.2977027159069*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.3745886899533194*^-10 - 7.556027375448186*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.492978360222739*^-10 - 7.815384339529148*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.611779055886881*^-10 - 8.075246174680334*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.7307468885897206*^-10 - 8.335058446280856*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.849625741668504*^-10 - 8.594240171377742*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.968147493050288*^-10 - 8.852184382442913*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.0860322888476085*^-10 - 9.108258804477235*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.2029888692685265*^-10 - 9.361806648474495*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.3187149476245463*^-10 - 9.61214752340408*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.4328976435812544*^-10 - 9.85857846848229*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.5452139715958506*^-10 - 1.010037510766657*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.655331384964527*^-10 - 1.0336792927366305*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.762908376181703*^-10 - 1.056706867830225*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.867595133861704*^-10 - 1.0790421901961298*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.969034256356368*^-10 - 1.1006056581653716*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.066861522014507*^-10 - 1.1213162917769548*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.160706715798602*^-10 - 1.1410919226235215*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.250194511876384*^-10 - 1.1598493959094944*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.334945411274059*^-10 - 1.1775047844983847*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.414576733975061*^-10 - 1.1939736147462639*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.488703664060538*^-10 - 1.2091711038311814*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.556940346597455*^-10 - 1.2230124082193593*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.618901034804919*^-10 - 1.2354128829114454*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.674201285294035*^-10 - 1.2462883509911954*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.72245919964053*^-10 - 1.25555538300263*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.763296709734741*^-10 - 1.2631315855985477*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.796340904208946*^-10 - 1.268935898824481*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.821225393444525*^-10 - 1.272888901418554*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.837591709621179*^-10 - 1.2749131233714209*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.845090738655413*^-10 - 1.2749333649872801*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.843384180572784*^-10 - 1.2728770216190698*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.83214603401917*^-10 - 1.2686744131801433*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.811064101292717*^-10 - 1.262259117520432*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.779841509250322*^-10 - 1.2535683066470876*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.738198241508198*^-10 - 1.2425430847860219*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.685872677335548*^-10 - 1.2291288271575358*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.622623132021926*^-10 - 1.2132755183653839*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.548229393454692*^-10 - 1.1949380891808903*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.462494249647956*^-10 - 1.1740767505256193*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.365245001311461*^-10 - 1.1506573233560706*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.256334953829183*^-10 - 1.1246515631685571*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.135644882418168*^-10 - 1.096037477739688*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.003084464641972*^-10 - 1.0647996367749451*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.858593673369715*^-10 - 1.0309294719902825*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.702144124413367*^-10 - 9.944255662499656*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.533740371526572*^-10 - 9.55293930249372*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.3534211427700323*^-10 - 9.135482652782481*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.1612605108453415*^-10 - 8.692102105720477*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.957368990942481*^-10 - 8.223095736956958*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.7418945591128247*^-10 - 7.728845425088305*^-9*I, 0. + 0.*I, 0. + 0.*I}
